ds,yhat,yhat_lower,yhat_upper,model,type
2000-01-01,126.91875013588692,121.9464920388066,131.80561923870843,Prophet,forecast
2000-02-01,128.25846859646978,123.38538878064551,133.2610729358806,Prophet,forecast
2000-03-01,129.22052500907515,124.1887058677518,133.72234316276837,Prophet,forecast
2000-04-01,129.30897197553537,124.87209802551098,134.11782092972658,Prophet,forecast
2000-05-01,127.4707364447648,122.68417913087193,132.3813663527455,Prophet,forecast
2000-06-01,125.32026422647634,120.47758895731256,130.23024830313875,Prophet,forecast
2000-07-01,126.06312319776134,121.30438473466516,130.89298801099187,Prophet,forecast
2000-08-01,126.7003804339779,121.81914345721584,131.44743983499234,Prophet,forecast
2000-09-01,124.89894408658648,119.81712247236209,129.48439045593204,Prophet,forecast
2000-10-01,127.51703074808562,122.8902741774332,132.18040869210049,Prophet,forecast
2000-11-01,129.31969627466904,124.50026578245004,134.19168407045643,Prophet,forecast
2000-12-01,128.64225901137686,124.14822853854793,133.49118882677766,Prophet,forecast
2001-01-01,129.430254137934,124.51966619762806,134.0960052284879,Prophet,forecast
2001-02-01,129.40497509106766,124.50078306196916,134.22272491872573,Prophet,forecast
2001-03-01,130.1668800888188,125.59392140740243,134.8101783468563,Prophet,forecast
2001-04-01,130.858649279262,126.33056332559212,135.690177603743,Prophet,forecast
2001-05-01,128.04342721020305,123.07991019628749,132.69128600929258,Prophet,forecast
2001-06-01,125.85624779005528,120.72596742246142,130.80694485219627,Prophet,forecast
2001-07-01,127.23990046550206,122.32812671676248,131.9897663280653,Prophet,forecast
2001-08-01,127.67534410096803,122.59359884026148,132.44868541351812,Prophet,forecast
2001-09-01,125.97691141995016,121.38166068939007,130.77932296629035,Prophet,forecast
2001-10-01,128.30320834217326,123.50029662088122,133.1388353425995,Prophet,forecast
2001-11-01,129.96043074502882,124.86257828345636,135.01597882655793,Prophet,forecast
2001-12-01,130.20575636961382,125.32005685919584,134.91567395434126,Prophet,forecast
2002-01-01,129.83384908614508,125.00176570127492,134.6479543710109,Prophet,forecast
2002-02-01,130.2489837217738,125.33763807827538,134.60333294011403,Prophet,forecast
2002-03-01,131.12151562513566,126.19273393245436,135.82964016077696,Prophet,forecast
2002-04-01,132.40170899037517,127.8179632612554,137.1285672478113,Prophet,forecast
2002-05-01,128.60348018971305,124.01918089680574,133.3039079463968,Prophet,forecast
2002-06-01,126.39882004160506,121.64889361776154,131.37970112042564,Prophet,forecast
2002-07-01,128.42392288620152,123.3060086799276,133.36561060496726,Prophet,forecast
2002-08-01,128.6500927841869,124.02556305506342,133.2384623000231,Prophet,forecast
2002-09-01,127.0523175059262,122.4462049378271,132.19085865458823,Prophet,forecast
2002-10-01,129.08493666891707,124.21450480160118,133.94136795208308,Prophet,forecast
2002-11-01,130.60805215026411,125.54317554821829,135.37667715000205,Prophet,forecast
2002-12-01,131.76515219174382,126.70428805102924,136.5377893747686,Prophet,forecast
2003-01-01,130.22951273595802,125.1699541883834,134.9384088523143,Prophet,forecast
2003-02-01,131.09973082058076,126.57159166506014,136.1934867952165,Prophet,forecast
2003-03-01,132.08420952950507,127.00710149129208,136.8942085365943,Prophet,forecast
2003-04-01,133.93751742646046,129.31751675970662,138.6297120004406,Prophet,forecast
2003-05-01,129.15131141085175,124.22079262553808,134.20474089806933,Prophet,forecast
2003-06-01,126.94847538243653,122.01794190482322,131.67834264550362,Prophet,forecast
2003-07-01,129.61496394860802,124.80037545408447,134.40320554831737,Prophet,forecast
2003-08-01,129.62446208471965,124.52224708331116,134.33136428889864,Prophet,forecast
2003-09-01,128.12499180015044,123.58037167697502,133.0289738593541,Prophet,forecast
2003-10-01,129.86238169833732,125.00996327540749,134.86149032643624,Prophet,forecast
2003-11-01,131.26274768732975,126.53481997538827,135.98594242330154,Prophet,forecast
2003-12-01,133.31993475979945,128.15398414785332,138.48357465580875,Prophet,forecast
2004-01-01,130.61771896625575,125.84761425077596,135.17484965544787,Prophet,forecast
2004-02-01,131.95743742683223,127.21226022372494,136.95649379417304,Prophet,forecast
2004-03-01,132.91949383943984,128.1038991653926,137.4757839714058,Prophet,forecast
2004-04-01,133.00794080589526,128.02532598588752,137.86588311613818,Prophet,forecast
2004-05-01,131.16970527513018,126.48883256424791,136.08296697207757,Prophet,forecast
2004-06-01,129.01923305684485,124.12709494184764,133.82311582742832,Prophet,forecast
2004-07-01,129.76209202812467,125.16926776099126,134.44750218500565,Prophet,forecast
2004-08-01,130.3993492643441,125.4855448387826,135.30891738546393,Prophet,forecast
2004-09-01,128.59791291695163,123.34933311126068,133.05932461856506,Prophet,forecast
2004-10-01,131.2159995784524,125.98900182553211,135.9117629315145,Prophet,forecast
2004-11-01,133.01866510503405,128.49031161790373,137.73038355344335,Prophet,forecast
2004-12-01,132.34122784173877,127.49782293303343,136.70608252094155,Prophet,forecast
2005-01-01,133.1292229682945,128.68179415703537,138.19111842090254,Prophet,forecast
2005-02-01,132.6760581853827,127.75015786700844,137.7217194852618,Prophet,forecast
2005-03-01,133.0514857441173,127.99983906888616,137.84537046412694,Prophet,forecast
2005-04-01,133.31536919850484,128.68696348313665,138.182289820399,Prophet,forecast
2005-05-01,130.08606415907312,125.41199755390608,134.90008455645307,Prophet,forecast
2005-06-01,127.4709990028767,122.4542077042268,132.3910673676573,Prophet,forecast
2005-07-01,128.44056870794785,123.15387876786016,132.92042705335462,Prophet,forecast
2005-08-01,128.44812660735855,123.61036169439186,133.09795186320434,Prophet,forecast
2005-09-01,126.32180819028598,121.16709350373954,131.22295606415696,Prophet,forecast
2005-10-01,128.23402214214107,123.49336104436188,132.9092495134552,Prophet,forecast
2005-11-01,129.4633588089442,124.70000310195095,134.25479479280006,Prophet,forecast
2005-12-01,129.29460146315375,124.79368594122408,133.96570323591115,Prophet,forecast
2006-01-01,128.49480844363663,123.54316517360752,133.03913922874605,Prophet,forecast
2006-02-01,128.48205734320905,123.84566469273896,133.4977905352438,Prophet,forecast
2006-03-01,128.96811180755546,124.07372896140564,133.98664203934905,Prophet,forecast
2006-04-01,129.82041943674267,125.032267780896,134.9643983586065,Prophet,forecast
2006-05-01,125.60810766570776,120.81112501289256,130.2132779419404,Prophet,forecast
2006-06-01,122.97556178154392,118.20392390879336,128.2066233426125,Prophet,forecast
2006-07-01,124.58658165577232,119.57258385512458,129.19017428823994,Prophet,forecast
2006-08-01,124.38486581769985,119.33558650315716,129.28936983652306,Prophet,forecast
2006-09-01,122.35920480339018,117.9141551087978,126.97639990660578,Prophet,forecast
2006-10-01,123.97774099600512,119.37921093620974,129.01892807894697,Prophet,forecast
2006-11-01,125.072970741302,120.0954272450026,129.76384094266453,Prophet,forecast
2006-12-01,125.81598781241055,120.53999273759408,130.84695892221413,Prophet,forecast
2007-01-01,123.85246262057294,118.87237486245782,128.7750923913083,Prophet,forecast
2007-02-01,124.29479496914055,119.42049360328352,129.01393446987288,Prophet,forecast
2007-03-01,124.89279623905048,120.49448976734432,129.57232569241722,Prophet,forecast
2007-04-01,126.31821839995456,121.42048320470852,131.08398701163256,Prophet,forecast
2007-05-01,121.1179294139657,116.3427132434955,125.66046083995973,Prophet,forecast
2007-06-01,118.48720764949796,113.60627293437014,123.42809380309228,Prophet,forecast
2007-07-01,120.73961324530048,115.78169293437226,125.64836488750475,Prophet,forecast
2007-08-01,120.32122564536012,115.64198348935324,125.14749945194826,Prophet,forecast
2007-09-01,118.39386962474,113.42547947821956,123.12092077564932,Prophet,forecast
2007-10-01,119.71717655254928,115.20336859308551,124.49875316797372,Prophet,forecast
2007-11-01,120.68965680548943,115.84534323697062,125.52911656015029,Prophet,forecast
2007-12-01,122.33276090758945,117.57396069495888,127.39297761576913,Prophet,forecast
2008-01-01,119.20265937798789,114.3550976467861,123.91937668097664,Prophet,forecast
2008-02-01,120.11449210251462,115.18341214873452,124.88370677987636,Prophet,forecast
2008-03-01,120.67626831042742,115.96611892165856,125.12946586498488,Prophet,forecast
2008-04-01,120.33682954083513,115.34256300189033,124.89261175992552,Prophet,forecast
2008-05-01,118.08451103969068,113.098043427325,122.82851652533316,Prophet,forecast
2008-06-01,115.50615308535254,110.84578382228092,120.490760733639,Prophet,forecast
2008-07-01,115.83492908626047,111.2859889040862,120.8298565123746,Prophet,forecast
2008-08-01,116.04430058642616,111.3461596330656,120.90068946992336,Prophet,forecast
2008-09-01,113.81497850298022,109.1341289021446,118.68339202472366,Prophet,forecast
2008-10-01,116.0189821941094,111.8282094861146,120.76297112717324,Prophet,forecast
2008-11-01,117.39376198463972,112.80434381438955,122.4383830914607,Prophet,forecast
2008-12-01,116.30224175097062,111.39813375571674,121.1704606324292,Prophet,forecast
2009-01-01,116.66235114147796,111.2385380368685,121.4992158393895,Prophet,forecast
2009-02-01,116.20918635855872,111.37014872900036,121.21500895973044,Prophet,forecast
2009-03-01,116.584613917294,111.83418637589558,121.63987883848156,Prophet,forecast
2009-04-01,116.8484973716863,112.07900984540557,121.36895896398828,Prophet,forecast
2009-05-01,113.6191923322518,109.1902786759866,118.55148846932308,Prophet,forecast
2009-06-01,111.00412717605342,105.965946558688,115.9280072258747,Prophet,forecast
2009-07-01,111.9736968811274,107.54444943478804,116.95578913135355,Prophet,forecast
2009-08-01,111.98125478053812,107.04555309043812,117.2643023524769,Prophet,forecast
2009-09-01,109.8549363634675,104.83070557388992,114.50435995355284,Prophet,forecast
2009-10-01,111.76715031531955,106.95856179499675,116.19123928844894,Prophet,forecast
2009-11-01,112.99648698212182,108.22529962746216,117.65528082496124,Prophet,forecast
2009-12-01,112.82772963633349,108.27953346928072,117.53038153881724,Prophet,forecast
2010-01-01,112.02793661681262,107.15325411111618,117.34840360145668,Prophet,forecast
2010-02-01,112.36498689488734,107.63396602956438,117.31717818462828,Prophet,forecast
2010-03-01,113.16699099142484,108.28527153239116,118.16243093458846,Prophet,forecast
2010-04-01,114.36909999911217,109.75673891026278,119.03600503788138,Prophet,forecast
2010-05-01,110.49530569113892,105.90613444588708,115.14303092679982,Prophet,forecast
2010-06-01,108.2125611854743,103.1302979988098,113.12346141061794,Prophet,forecast
2010-07-01,110.16209852276344,105.29713628000307,115.09243873630848,Prophet,forecast
2010-08-01,110.31018406319713,105.66427313127112,115.3016386428619,Prophet,forecast
2010-09-01,108.63432442738224,103.93391999925106,113.73845985040208,Prophet,forecast
2010-10-01,110.5913780830618,105.69159987947202,115.105951456686,Prophet,forecast
2010-11-01,112.03640920685623,106.76511385528808,116.88811067959222,Prophet,forecast
2010-12-01,113.11794374102944,108.20601604279764,117.78211186165582,Prophet,forecast
2011-01-01,111.50421992768656,106.74110730669771,116.40601425030472,Prophet,forecast
2011-02-01,112.29635365475411,107.0828182576364,117.1388336697166,Prophet,forecast
2011-03-01,113.21030455685866,108.47338957030875,118.08899011568296,Prophet,forecast
2011-04-01,114.98552809626024,109.85315420658696,119.43978941007208,Prophet,forecast
2011-05-01,110.12375657334098,105.47876756182406,114.9905266504214,Prophet,forecast
2011-06-01,107.84283618736988,103.04749603925852,112.58954659220078,Prophet,forecast
2011-07-01,110.43375924623147,105.63505503225726,115.43073685254429,Prophet,forecast
2011-08-01,110.36517302478856,105.46486468927722,115.08611316400592,Prophet,forecast
2011-09-01,108.78761838267155,104.11799705511731,113.81375165910788,Prophet,forecast
2011-10-01,110.4494427735437,105.92270982318044,115.48505685420656,Prophet,forecast
2011-11-01,111.77172440497982,106.76762888023484,116.52870967045114,Prophet,forecast
2011-12-01,113.75334597014262,109.0608836508824,118.73977887974364,Prophet,forecast
2012-01-01,110.97304581904258,106.45289186439209,116.03182383895472,Prophet,forecast
2012-02-01,112.2346799220711,107.22562719325104,116.92843693020924,Prophet,forecast
2012-03-01,113.12368967761014,108.39654006708588,118.00705334157747,Prophet,forecast
