ds,yhat,yhat_lower,yhat_upper,model,type
2000-01-01,123.39272855,,,Historical,historical
2000-02-01,125.35140249999999,,,Historical,historical
2000-03-01,126.40467935,,,Historical,historical
2000-04-01,128.23892115,,,Historical,historical
2000-05-01,125.92560225,,,Historical,historical
2000-06-01,124.0825676,,,Historical,historical
2000-07-01,125.13797605,,,Historical,historical
2000-08-01,127.47740705,,,Historical,historical
2000-09-01,125.09481115,,,Historical,historical
2000-10-01,127.20989124999998,,,Historical,historical
2000-11-01,128.42250520000002,,,Historical,historical
2000-12-01,126.6852512,,,Historical,historical
2001-01-01,130.23090134999998,,,Historical,historical
2001-02-01,130.00841559999998,,,Historical,historical
2001-03-01,129.90902975,,,Historical,historical
2001-04-01,132.14294654999998,,,Historical,historical
2001-05-01,133.32625099999998,,,Historical,historical
2001-06-01,132.4821374,,,Historical,historical
2001-07-01,131.8916842,,,Historical,historical
2001-08-01,132.22394735,,,Historical,historical
2001-09-01,130.66734645,,,Historical,historical
2001-10-01,131.79522930000002,,,Historical,historical
2001-11-01,133.1072291,,,Historical,historical
2001-12-01,133.9310925,,,Historical,historical
2002-01-01,130.6772051,,,Historical,historical
2002-02-01,132.4832032,,,Historical,historical
2002-03-01,132.9942543,,,Historical,historical
2002-04-01,135.2612109,,,Historical,historical
2002-05-01,129.94606629999998,,,Historical,historical
2002-06-01,130.24422385,,,Historical,historical
2002-07-01,129.74622879999998,,,Historical,historical
2002-08-01,128.23412505,,,Historical,historical
2002-09-01,127.80247605000001,,,Historical,historical
2002-10-01,129.7680777,,,Historical,historical
2002-11-01,130.37798175,,,Historical,historical
2002-12-01,130.7214358,,,Historical,historical
2003-01-01,126.06575495,,,Historical,historical
2003-02-01,126.68471829999999,,,Historical,historical
2003-03-01,127.0758669,,,Historical,historical
2003-04-01,128.7923378,,,Historical,historical
2003-05-01,125.28558935000001,,,Historical,historical
2003-06-01,124.23710859999998,,,Historical,historical
2003-07-01,124.68048139999999,,,Historical,historical
2003-08-01,125.81848935,,,Historical,historical
2003-09-01,124.75855125000001,,,Historical,historical
2003-10-01,126.29063875,,,Historical,historical
