Year,Production_mtpa,YoY_pct,Incremental_Supply,Supply_Gap
2000,126.118645275,,-16.35576679999997,-30.35576679999997
2001,131.8096842125,4.512448516308409,-10.664727862499973,-24.664727862499973
2002,130.68804073333334,-0.8509568062983752,-11.786371341666637,-25.786371341666637
2003,126.17328972916665,-3.4546014913322876,-16.30112234583332,-30.30112234583332
2004,127.81431087083332,1.3006089840323254,-14.66010120416665,-28.66010120416665
2005,128.4155108875,0.47036987687101295,-14.05890118749997,-28.05890118749997
2006,129.03571767083335,0.482968746568857,-13.438694404166625,-27.438694404166625
2007,126.87627364583334,-1.673524248928271,-15.598138429166639,-29.59813842916664
2008,121.72548428750001,-4.0596947012421,-20.748927787499966,-34.748927787499966
2009,113.94077006666667,-6.395303552415399,-28.533642008333302,-42.5336420083333
2010,110.03809912083334,-3.4251751533273644,-32.43631295416664,-46.43631295416664
2011,110.02975035416667,-0.007587160023092565,-32.44466172083331,-46.44466172083331
2012,104.9828320875,-4.5868669613641,-37.491579987499975,-51.491579987499975
2013,106.1386921875,1.1009991605452463,-36.33571988749998,-50.33571988749998
2014,111.55950641666668,5.1072932193195975,-30.914905658333296,-44.914905658333296
2015,114.50293515833333,2.638438297381085,-27.971476916666646,-41.971476916666646
2016,115.5294559875,0.8965017601926251,-26.944956087499975,-40.944956087499975
2017,117.15921961666668,1.4106909923846667,-25.3151924583333,-39.3151924583333
2018,121.93236050833333,4.074063404727268,-20.542051566666643,-34.54205156666664
2019,118.50714575833332,-2.8091105066123223,-23.967266316666652,-37.96726631666665
2020,116.39830502916665,-1.7795051223891134,-26.076107045833325,-40.076107045833325
2021,121.56965544583333,4.442805602169941,-20.90475662916664,-34.90475662916664
2022,130.5788184375,7.410700440522988,-11.895593637499985,-25.895593637499985
2023,135.2817941625,3.601637525347212,-7.192617912499969,-21.19261791249997
2024,138.45010670416667,2.342009552195101,-4.024305370833304,-18.024305370833304
2025,142.47441207499998,2.9066827513771765,0.0,-14.0
