Year,Month,Province,Production_e3m3d,ds,Production_mtpa
2000,1,Canada Total,463099.0,2000-01-01,123.39272855
2000,2,Canada Total,470450.0,2000-02-01,125.35140249999999
2000,3,Canada Total,474403.0,2000-03-01,126.40467935
2000,4,Canada Total,481287.0,2000-04-01,128.23892115
2000,5,Canada Total,472605.0,2000-05-01,125.92560225
2000,6,Canada Total,465688.0,2000-06-01,124.0825676
2000,7,Canada Total,469649.0,2000-07-01,125.13797605
2000,8,Canada Total,478429.0,2000-08-01,127.47740705
2000,9,Canada Total,469487.0,2000-09-01,125.09481115
2000,10,Canada Total,477425.0,2000-10-01,127.20989124999998
2000,11,Canada Total,481976.0,2000-11-01,128.42250520000002
2000,12,Canada Total,475456.0,2000-12-01,126.6852512
2001,1,Canada Total,488763.0,2001-01-01,130.23090134999998
2001,2,Canada Total,487928.0,2001-02-01,130.00841559999998
2001,3,Canada Total,487555.0,2001-03-01,129.90902975
2001,4,Canada Total,495939.0,2001-04-01,132.14294654999998
2001,5,Canada Total,500380.0,2001-05-01,133.32625099999998
2001,6,Canada Total,497212.0,2001-06-01,132.4821374
2001,7,Canada Total,494996.0,2001-07-01,131.8916842
2001,8,Canada Total,496243.0,2001-08-01,132.22394735
2001,9,Canada Total,490401.0,2001-09-01,130.66734645
2001,10,Canada Total,494634.0,2001-10-01,131.79522930000002
2001,11,Canada Total,499558.0,2001-11-01,133.1072291
2001,12,Canada Total,502650.0,2001-12-01,133.9310925
2002,1,Canada Total,490438.0,2002-01-01,130.6772051
2002,2,Canada Total,497216.0,2002-02-01,132.4832032
2002,3,Canada Total,499134.0,2002-03-01,132.9942543
2002,4,Canada Total,507642.0,2002-04-01,135.2612109
2002,5,Canada Total,487694.0,2002-05-01,129.94606629999998
2002,6,Canada Total,488813.0,2002-06-01,130.24422385
2002,7,Canada Total,486944.0,2002-07-01,129.74622879999998
2002,8,Canada Total,481269.0,2002-08-01,128.23412505
2002,9,Canada Total,479649.0,2002-09-01,127.80247605000001
2002,10,Canada Total,487026.0,2002-10-01,129.7680777
2002,11,Canada Total,489315.0,2002-11-01,130.37798175
2002,12,Canada Total,490604.0,2002-12-01,130.7214358
2003,1,Canada Total,473131.0,2003-01-01,126.06575495
2003,2,Canada Total,475454.0,2003-02-01,126.68471829999999
2003,3,Canada Total,476922.0,2003-03-01,127.0758669
2003,4,Canada Total,483364.0,2003-04-01,128.7923378
2003,5,Canada Total,470203.0,2003-05-01,125.28558935000001
2003,6,Canada Total,466268.0,2003-06-01,124.23710859999998
2003,7,Canada Total,467932.0,2003-07-01,124.68048139999999
2003,8,Canada Total,472203.0,2003-08-01,125.81848935
2003,9,Canada Total,468225.0,2003-09-01,124.75855125000001
2003,10,Canada Total,473975.0,2003-10-01,126.29063875
2003,11,Canada Total,475045.0,2003-11-01,126.57574025
2003,12,Canada Total,479693.0,2003-12-01,127.81419985
2004,1,Canada Total,470796.0,2004-01-01,125.4435942
2004,2,Canada Total,479342.0,2004-02-01,127.7206759
2004,3,Canada Total,486034.0,2004-03-01,129.5037593
2004,4,Canada Total,493000.0,2004-04-01,131.35985
2004,5,Canada Total,488085.0,2004-05-01,130.05024825
2004,6,Canada Total,476657.0,2004-06-01,127.00525764999999
2004,7,Canada Total,475645.0,2004-07-01,126.73561025
2004,8,Canada Total,476032.0,2004-08-01,126.8387264
2004,9,Canada Total,471560.0,2004-09-01,125.64716200000001
2004,10,Canada Total,476984.0,2004-10-01,127.0923868
2004,11,Canada Total,483143.0,2004-11-01,128.73345235
2004,12,Canada Total,479043.0,2004-12-01,127.64100735
2005,1,Canada Total,470898.0,2005-01-01,125.47077209999999
2005,2,Canada Total,480032.0,2005-02-01,127.9045264
2005,3,Canada Total,485700.0,2005-03-01,129.414765
2005,4,Canada Total,493100.0,2005-04-01,131.386495
2005,5,Canada Total,478816.0,2005-05-01,127.5805232
2005,6,Canada Total,470082.0,2005-06-01,125.25334889999999
2005,7,Canada Total,481189.0,2005-07-01,128.21280905
2005,8,Canada Total,484242.0,2005-08-01,129.02628090000002
2005,9,Canada Total,478347.0,2005-09-01,127.45555815
2005,10,Canada Total,482904.0,2005-10-01,128.6697708
2005,11,Canada Total,488309.0,2005-11-01,130.10993305
2005,12,Canada Total,489778.0,2005-12-01,130.5013481
2006,1,Canada Total,487364.0,2006-01-01,129.85813779999998
2006,2,Canada Total,486367.0,2006-02-01,129.59248715
2006,3,Canada Total,491240.0,2006-03-01,130.890898
2006,4,Canada Total,497967.0,2006-04-01,132.68330715
2006,5,Canada Total,490245.0,2006-05-01,130.62578025
2006,6,Canada Total,473430.0,2006-06-01,126.1454235
2006,7,Canada Total,476010.0,2006-07-01,126.8328645
2006,8,Canada Total,490369.0,2006-08-01,130.65882005
2006,9,Canada Total,476618.0,2006-09-01,126.99486610000001
2006,10,Canada Total,484044.0,2006-10-01,128.9735238
2006,11,Canada Total,474068.0,2006-11-01,126.3154186
2006,12,Canada Total,483607.0,2006-12-01,128.85708515000002
2007,1,Canada Total,482910.0,2007-01-01,128.6713695
2007,2,Canada Total,484081.0,2007-02-01,128.98338245
2007,3,Canada Total,487292.0,2007-03-01,129.8389534
2007,4,Canada Total,493192.0,2007-04-01,131.41100840000001
2007,5,Canada Total,482261.0,2007-05-01,128.49844345
2007,6,Canada Total,467112.0,2007-06-01,124.4619924
2007,7,Canada Total,469431.0,2007-07-01,125.07988995000001
2007,8,Canada Total,477033.0,2007-08-01,127.10544284999999
2007,9,Canada Total,469904.0,2007-09-01,125.2059208
2007,10,Canada Total,470000.0,2007-10-01,125.23150000000001
2007,11,Canada Total,467097.0,2007-11-01,124.45799565
2007,12,Canada Total,463762.0,2007-12-01,123.5693849
2008,1,Canada Total,458445.0,2008-01-01,122.15267025
2008,2,Canada Total,453501.0,2008-02-01,120.83534144999999
2008,3,Canada Total,467767.0,2008-03-01,124.63651715
2008,4,Canada Total,473625.0,2008-04-01,126.19738124999999
2008,5,Canada Total,464739.0,2008-05-01,123.82970655000001
2008,6,Canada Total,444778.0,2008-06-01,118.51109810000001
2008,7,Canada Total,461452.0,2008-07-01,122.9538854
2008,8,Canada Total,455678.0,2008-08-01,121.4154031
2008,9,Canada Total,455960.0,2008-09-01,121.49054199999999
2008,10,Canada Total,454274.0,2008-10-01,121.0413073
2008,11,Canada Total,453739.0,2008-11-01,120.89875654999999
2008,12,Canada Total,438143.0,2008-12-01,116.74320234999999
2009,1,Canada Total,438392.0,2009-01-01,116.8095484
2009,2,Canada Total,449438.0,2009-02-01,119.7527551
2009,3,Canada Total,445498.0,2009-03-01,118.7029421
2009,4,Canada Total,455917.0,2009-04-01,121.47908465
2009,5,Canada Total,438789.0,2009-05-01,116.91532905
2009,6,Canada Total,430371.0,2009-06-01,114.67235295
2009,7,Canada Total,431794.0,2009-07-01,115.05151129999999
2009,8,Canada Total,417949.0,2009-08-01,111.36251105000001
2009,9,Canada Total,401291.0,2009-09-01,106.92398695
2009,10,Canada Total,404162.0,2009-10-01,107.68896489999999
2009,11,Canada Total,415837.0,2009-11-01,110.79976865
2009,12,Canada Total,402066.0,2009-12-01,107.1304857
2010,1,Canada Total,411529.0,2010-01-01,109.65190205
2010,2,Canada Total,417937.0,2010-02-01,111.35931365
2010,3,Canada Total,422210.0,2010-03-01,112.4978545
2010,4,Canada Total,427391.0,2010-04-01,113.87833195
2010,5,Canada Total,419790.0,2010-05-01,111.85304550000001
2010,6,Canada Total,404905.0,2010-06-01,107.88693724999999
2010,7,Canada Total,409604.0,2010-07-01,109.1389858
2010,8,Canada Total,417793.0,2010-08-01,111.32094485
2010,9,Canada Total,406989.0,2010-09-01,108.44221904999999
2010,10,Canada Total,407150.0,2010-10-01,108.48511749999999
2010,11,Canada Total,401577.0,2010-11-01,107.00019164999999
2010,12,Canada Total,408866.0,2010-12-01,108.94234569999999
2011,1,Canada Total,405327.0,2011-01-01,107.99937915
2011,2,Canada Total,408432.0,2011-02-01,108.82670639999999
2011,3,Canada Total,409931.0,2011-03-01,109.22611495000001
2011,4,Canada Total,425160.0,2011-04-01,113.283882
2011,5,Canada Total,413970.0,2011-05-01,110.3023065
2011,6,Canada Total,401503.0,2011-06-01,106.98047435000001
2011,7,Canada Total,414363.0,2011-07-01,110.40702135
2011,8,Canada Total,411724.0,2011-08-01,109.70385979999999
2011,9,Canada Total,411394.0,2011-09-01,109.61593129999999
2011,10,Canada Total,411066.0,2011-10-01,109.52853569999999
