Year,Month,Province,Production_e3m3d
2023,January,Alberta,313562
2023,January,British Columbia,188008
2023,January,Canada Total,510651
2023,January,NWT & Yukon,137
2023,January,New Brunswick,254
2023,January,Nova Scotia,0
2023,January,Ontario,168
2023,January,Saskatchewan,8523
2023,February,Alberta,314905
2023,February,British Columbia,184298
2023,February,Canada Total,508516
2023,February,NWT & Yukon,137
2023,February,New Brunswick,258
2023,February,Nova Scotia,0
2023,February,Ontario,153
2023,February,Saskatchewan,8766
2023,March,Alberta,313318
2023,March,British Columbia,190282
2023,March,Canada Total,512693
2023,March,NWT & Yukon,131
2023,March,New Brunswick,211
2023,March,Nova Scotia,0
2023,March,Ontario,163
2023,March,Saskatchewan,8587
2023,April,Alberta,314085
2023,April,British Columbia,193215
2023,April,Canada Total,516738
2023,April,NWT & Yukon,148
2023,April,New Brunswick,92
2023,April,Nova Scotia,0
2023,April,Ontario,177
2023,April,Saskatchewan,9021
2023,May,Alberta,274588
2023,May,British Columbia,185487
2023,May,Canada Total,469239
2023,May,NWT & Yukon,140
2023,May,New Brunswick,8
2023,May,Nova Scotia,0
2023,May,Ontario,179
2023,May,Saskatchewan,8837
2023,June,Alberta,292851
2023,June,British Columbia,180744
2023,June,Canada Total,482551
2023,June,NWT & Yukon,151
2023,June,New Brunswick,0
2023,June,Nova Scotia,0
2023,June,Ontario,181
2023,June,Saskatchewan,8624
2023,July,Alberta,313778
2023,July,British Columbia,187091
2023,July,Canada Total,510084
2023,July,NWT & Yukon,138
2023,July,New Brunswick,0
2023,July,Nova Scotia,0
2023,July,Ontario,181
2023,July,Saskatchewan,8895
2023,August,Alberta,315852
2023,August,British Columbia,186857
2023,August,Canada Total,511742
2023,August,NWT & Yukon,121
2023,August,New Brunswick,0
2023,August,Nova Scotia,0
2023,August,Ontario,187
2023,August,Saskatchewan,8725
2023,September,Alberta,307381
2023,September,British Columbia,184120
2023,September,Canada Total,500532
2023,September,NWT & Yukon,124
2023,September,New Brunswick,0
2023,September,Nova Scotia,0
2023,September,Ontario,187
2023,September,Saskatchewan,8721
2023,October,Alberta,308638
2023,October,British Columbia,194745
2023,October,Canada Total,512529
2023,October,NWT & Yukon,128
2023,October,New Brunswick,0
2023,October,Nova Scotia,0
2023,October,Ontario,186
2023,October,Saskatchewan,8832
2023,November,Alberta,321726
2023,November,British Columbia,194111
2023,November,Canada Total,525241
2023,November,NWT & Yukon,138
2023,November,New Brunswick,238
2023,November,Nova Scotia,0
2023,November,Ontario,169
2023,November,Saskatchewan,8858
2023,December,Alberta,323014
2023,December,British Columbia,199608
2023,December,Canada Total,532115
2023,December,NWT & Yukon,156
2023,December,New Brunswick,321
2023,December,Nova Scotia,0
2023,December,Ontario,169
2023,December,Saskatchewan,8847
2024,January,Alberta,305107
2024,January,British Columbia,198349
2024,January,Canada Total,512301
2024,January,NWT & Yukon,136
2024,January,New Brunswick,289
2024,January,Nova Scotia,0
2024,January,Ontario,148
2024,January,Saskatchewan,8272
2024,February,Alberta,315782
2024,February,British Columbia,202990
2024,February,Canada Total,528154
2024,February,NWT & Yukon,129
2024,February,New Brunswick,261
2024,February,Nova Scotia,0
2024,February,Ontario,157
2024,February,Saskatchewan,8836
2024,March,Alberta,314574
2024,March,British Columbia,200070
2024,March,Canada Total,523805
2024,March,NWT & Yukon,144
2024,March,New Brunswick,224
2024,March,Nova Scotia,0
2024,March,Ontario,163
2024,March,Saskatchewan,8630
2024,April,Alberta,314444
2024,April,British Columbia,200532
2024,April,Canada Total,524256
2024,April,NWT & Yukon,139
2024,April,New Brunswick,86
2024,April,Nova Scotia,0
2024,April,Ontario,159
2024,April,Saskatchewan,8897
2024,May,Alberta,306582
2024,May,British Columbia,192917
2024,May,Canada Total,508539
2024,May,NWT & Yukon,130
2024,May,New Brunswick,0
2024,May,Nova Scotia,0
2024,May,Ontario,162
2024,May,Saskatchewan,8748
2024,June,Alberta,306328
2024,June,British Columbia,198042
2024,June,Canada Total,513008
2024,June,NWT & Yukon,117
2024,June,New Brunswick,0
2024,June,Nova Scotia,0
2024,June,Ontario,182
2024,June,Saskatchewan,8339
2024,July,Alberta,305644
2024,July,British Columbia,186266
2024,July,Canada Total,500213
2024,July,NWT & Yukon,120
2024,July,New Brunswick,0
2024,July,Nova Scotia,0
2024,July,Ontario,189
2024,July,Saskatchewan,7994
2024,August,Alberta,308700
2024,August,British Columbia,199150
2024,August,Canada Total,516035
2024,August,NWT & Yukon,125
2024,August,New Brunswick,0
2024,August,Nova Scotia,0
2024,August,Ontario,186
2024,August,Saskatchewan,7874
2024,September,Alberta,292066
2024,September,British Columbia,194250
2024,September,Canada Total,494372
2024,September,NWT & Yukon,130
2024,September,New Brunswick,0
2024,September,Nova Scotia,0
2024,September,Ontario,154
2024,September,Saskatchewan,7772
2024,October,Alberta,311436
2024,October,British Columbia,204102
2024,October,Canada Total,524050
2024,October,NWT & Yukon,127
2024,October,New Brunswick,0
2024,October,Nova Scotia,0
2024,October,Ontario,144
2024,October,Saskatchewan,8241
2024,November,Alberta,318961
2024,November,British Columbia,212783
2024,November,Canada Total,540406
2024,November,NWT & Yukon,147
2024,November,New Brunswick,
2024,November,Nova Scotia,0
2024,November,Ontario,141
2024,November,Saskatchewan,8373
2024,December,Alberta,324850
2024,December,British Columbia,216762
2024,December,Canada Total,550182
2024,December,NWT & Yukon,160
2024,December,New Brunswick,
2024,December,Nova Scotia,0
2024,December,Ontario,123
2024,December,Saskatchewan,8287
2025,January,Alberta,325468
2025,January,British Columbia,213759
2025,January,Canada Total,547425
2025,January,NWT & Yukon,146
2025,January,New Brunswick,
2025,January,Nova Scotia,0
2025,January,Ontario,105
2025,January,Saskatchewan,7948
2025,February,Alberta,317009
2025,February,British Columbia,213565
2025,February,Canada Total,538505
2025,February,NWT & Yukon,112
2025,February,New Brunswick,
2025,February,Nova Scotia,0
2025,February,Ontario,111
2025,February,Saskatchewan,7709
2025,March,Alberta,327978
2025,March,British Columbia,212377
2025,March,Canada Total,548946
2025,March,NWT & Yukon,107
2025,March,New Brunswick,
2025,March,Nova Scotia,0
2025,March,Ontario,129
2025,March,Saskatchewan,8355
2025,April,Alberta,326191
2025,April,British Columbia,205848
2025,April,Canada Total,540471
2025,April,NWT & Yukon,112
2025,April,New Brunswick,
2025,April,Nova Scotia,0
2025,April,Ontario,144
2025,April,Saskatchewan,8178
2025,May,Alberta,318420
2025,May,British Columbia,212018
2025,May,Canada Total,538480
2025,May,NWT & Yukon,118
2025,May,New Brunswick,
2025,May,Nova Scotia,0
2025,May,Ontario,146
2025,May,Saskatchewan,7777
2025,June,Alberta,307840
2025,June,British Columbia,206835
2025,June,Canada Total,522979
2025,June,NWT & Yukon,100
2025,June,New Brunswick,
2025,June,Nova Scotia,0
2025,June,Ontario,185
2025,June,Saskatchewan,8019
2025,July,Alberta,315914
2025,July,British Columbia,212040
2025,July,Canada Total,536069
2025,July,NWT & Yukon,101
2025,July,New Brunswick,
2025,July,Nova Scotia,0
2025,July,Ontario,187
2025,July,Saskatchewan,7826
2025,August,Alberta,313706
2025,August,British Columbia,199297
2025,August,Canada Total,521131
2025,August,NWT & Yukon,110
2025,August,New Brunswick,
2025,August,Nova Scotia,0
2025,August,Ontario,174
2025,August,Saskatchewan,7843
2025,September,Alberta,313921
2025,September,British Columbia,190369
2025,September,Canada Total,512361
2025,September,NWT & Yukon,108
2025,September,New Brunswick,
2025,September,Nova Scotia,0
2025,September,Ontario,214
2025,September,Saskatchewan,7750
2025,October,Alberta,321875
2025,October,British Columbia,210933
2025,October,Canada Total,540768
2025,October,NWT & Yukon,
2025,October,New Brunswick,
2025,October,Nova Scotia,0
2025,October,Ontario,197
2025,October,Saskatchewan,7764
2025,November,Alberta,333954
2025,November,British Columbia,
2025,November,Canada Total,
2025,November,NWT & Yukon,
2025,November,New Brunswick,
2025,November,Nova Scotia,
2025,November,Ontario,
2025,November,Saskatchewan,
2025,December,Alberta,
2025,December,British Columbia,
2025,December,Canada Total,
2025,December,NWT & Yukon,
2025,December,New Brunswick,
2025,December,Nova Scotia,
2025,December,Ontario,
2025,December,Saskatchewan,
