Year,Month,Province,Production_mmcfd
2023,January,Alberta,11073
2023,January,British Columbia,6639
2023,January,Canada Total,18033
2023,January,NWT & Yukon,5
2023,January,New Brunswick,9
2023,January,Nova Scotia,0
2023,January,Ontario,6
2023,January,Saskatchewan,301
2023,February,Alberta,11121
2023,February,British Columbia,6508
2023,February,Canada Total,17958
2023,February,NWT & Yukon,5
2023,February,New Brunswick,9
2023,February,Nova Scotia,0
2023,February,Ontario,5
2023,February,Saskatchewan,310
2023,March,Alberta,11065
2023,March,British Columbia,6720
2023,March,Canada Total,18106
2023,March,NWT & Yukon,5
2023,March,New Brunswick,7
2023,March,Nova Scotia,0
2023,March,Ontario,6
2023,March,Saskatchewan,303
2023,April,Alberta,11092
2023,April,British Columbia,6823
2023,April,Canada Total,18248
2023,April,NWT & Yukon,5
2023,April,New Brunswick,3
2023,April,Nova Scotia,0
2023,April,Ontario,6
2023,April,Saskatchewan,319
2023,May,Alberta,9697
2023,May,British Columbia,6550
2023,May,Canada Total,16571
2023,May,NWT & Yukon,5
2023,May,New Brunswick,0
2023,May,Nova Scotia,0
2023,May,Ontario,6
2023,May,Saskatchewan,312
2023,June,Alberta,10342
2023,June,British Columbia,6383
2023,June,Canada Total,17041
2023,June,NWT & Yukon,5
2023,June,New Brunswick,0
2023,June,Nova Scotia,0
2023,June,Ontario,6
2023,June,Saskatchewan,305
2023,July,Alberta,11081
2023,July,British Columbia,6607
2023,July,Canada Total,18013
2023,July,NWT & Yukon,5
2023,July,New Brunswick,0
2023,July,Nova Scotia,0
2023,July,Ontario,6
2023,July,Saskatchewan,314
2023,August,Alberta,11154
2023,August,British Columbia,6599
2023,August,Canada Total,18072
2023,August,NWT & Yukon,4
2023,August,New Brunswick,0
2023,August,Nova Scotia,0
2023,August,Ontario,7
2023,August,Saskatchewan,308
2023,September,Alberta,10855
2023,September,British Columbia,6502
2023,September,Canada Total,17676
2023,September,NWT & Yukon,4
2023,September,New Brunswick,0
2023,September,Nova Scotia,0
2023,September,Ontario,7
2023,September,Saskatchewan,308
2023,October,Alberta,10899
2023,October,British Columbia,6877
2023,October,Canada Total,18100
2023,October,NWT & Yukon,5
2023,October,New Brunswick,0
2023,October,Nova Scotia,0
2023,October,Ontario,7
2023,October,Saskatchewan,312
2023,November,Alberta,11362
2023,November,British Columbia,6855
2023,November,Canada Total,18549
2023,November,NWT & Yukon,5
2023,November,New Brunswick,8
2023,November,Nova Scotia,0
2023,November,Ontario,6
2023,November,Saskatchewan,313
2023,December,Alberta,11407
2023,December,British Columbia,7049
2023,December,Canada Total,18791
2023,December,NWT & Yukon,6
2023,December,New Brunswick,11
2023,December,Nova Scotia,0
2023,December,Ontario,6
2023,December,Saskatchewan,312
2024,January,Alberta,10775
2024,January,British Columbia,7005
2024,January,Canada Total,18092
2024,January,NWT & Yukon,5
2024,January,New Brunswick,10
2024,January,Nova Scotia,0
2024,January,Ontario,5
2024,January,Saskatchewan,292
2024,February,Alberta,11152
2024,February,British Columbia,7169
2024,February,Canada Total,18652
2024,February,NWT & Yukon,5
2024,February,New Brunswick,9
